Ticker,TotalTime,logDate,logTime,priceOpen,priceHigh,priceLow,priceClose,amount
BTCUSDT,201808310000,20180831,0,6869.99,6900.0,6846.73,6863.69,1812.955239
BTCUSDT,201808310100,20180831,100,6862.47,6875.72,6830.0,6858.98,1776.006699
BTCUSDT,201808310200,20180831,200,6858.47,6877.0,6853.47,6867.31,1447.750594
BTCUSDT,201808310300,20180831,300,6867.31,6867.95,6784.81,6819.5,2567.289839
BTCUSDT,201808310400,20180831,400,6819.49,6841.82,6800.33,6809.98,1327.136712
BTCUSDT,201808310500,20180831,500,6809.98,6945.02,6800.0,6916.01,2949.114875
BTCUSDT,201808310600,20180831,600,6916.01,6960.79,6909.14,6940.98,1787.429202
BTCUSDT,201808310700,20180831,700,6942.12,6955.99,6922.0,6943.12,1457.606082
BTCUSDT,201808310800,20180831,800,6941.29,6998.15,6924.0,6984.84,1795.087458
BTCUSDT,201808310900,20180831,900,6984.84,6986.85,6945.83,6946.37,1910.420013
BTCUSDT,201808311000,20180831,1000,6946.98,6965.0,6928.63,6939.13,986.372363
BTCUSDT,201808311100,20180831,1100,6939.17,6970.0,6922.67,6950.0,1417.595497
BTCUSDT,201808311200,20180831,1200,6951.94,6978.37,6943.55,6973.0,853.493388
BTCUSDT,201808311300,20180831,1300,6973.0,7023.0,6955.44,7010.11,1493.901417
BTCUSDT,201808311400,20180831,1400,7010.11,7020.0,6983.56,7005.01,1457.839803
BTCUSDT,201808311500,20180831,1500,7005.01,7005.02,6975.0,7003.12,1492.077218
BTCUSDT,201808311600,20180831,1600,7003.12,7011.25,6960.15,6965.58,1714.666166
BTCUSDT,201808311700,20180831,1700,6965.58,6984.83,6950.0,6951.23,1698.910046
BTCUSDT,201808311800,20180831,1800,6953.82,6968.97,6934.09,6955.99,1712.378183
BTCUSDT,201808311900,20180831,1900,6956.0,6974.0,6940.85,6952.43,1086.501135
BTCUSDT,201808312000,20180831,2000,6952.43,6990.68,6952.02,6967.4,1890.482492
BTCUSDT,201808312100,20180831,2100,6967.68,6975.0,6888.0,6904.99,2389.288493
BTCUSDT,201808312200,20180831,2200,6904.99,6936.66,6900.1,6935.31,1172.348363
BTCUSDT,201808312300,20180831,2300,6935.31,6940.89,6901.7,6938.44,1782.323573
BTCUSDT,201809010000,20180901,0,6938.44,6997.92,6935.04,6960.0,2920.502909
BTCUSDT,201809010100,20180901,100,6959.52,6998.0,6951.37,6988.86,1633.059017
BTCUSDT,201809010200,20180901,200,6988.86,7079.0,6974.99,7048.71,2936.596826
BTCUSDT,201809010300,20180901,300,7049.11,7089.0,7026.91,7044.49,2503.624679
BTCUSDT,201809010400,20180901,400,7046.2,7060.0,7029.0,7047.48,1463.94129
BTCUSDT,201809010500,20180901,500,7045.68,7065.75,7040.0,7048.71,2039.563747
BTCUSDT,201809010600,20180901,600,7049.95,7050.0,6992.02,7021.69,1770.413022
BTCUSDT,201809010700,20180901,700,7021.68,7037.0,7009.06,7027.53,826.616297
BTCUSDT,201809010800,20180901,800,7028.11,7054.0,6996.0,7011.21,1314.484701
BTCUSDT,201809010900,20180901,900,7011.21,7049.91,7008.74,7043.94,1096.446414
BTCUSDT,201809011000,20180901,1000,7043.96,7061.23,7031.15,7036.99,1583.012299
BTCUSDT,201809011100,20180901,1100,7036.71,7067.73,7034.01,7046.22,1141.202699
BTCUSDT,201809011200,20180901,1200,7047.21,7071.75,7041.78,7066.92,1244.005282
BTCUSDT,201809011300,20180901,1300,7067.17,7079.0,7039.8,7054.02,1380.226004
BTCUSDT,201809011400,20180901,1400,7054.02,7060.09,7027.37,7047.0,1276.344209
BTCUSDT,201809011500,20180901,1500,7047.01,7055.0,7034.0,7052.54,957.002306
BTCUSDT,201809011600,20180901,1600,7053.69,7067.94,7044.77,7046.99,1023.347092
BTCUSDT,201809011700,20180901,1700,7046.98,7065.0,7046.57,7061.22,954.725557
BTCUSDT,201809011800,20180901,1800,7062.34,7084.4,7049.98,7070.87,1103.592979
BTCUSDT,201809011900,20180901,1900,7070.89,7103.51,7065.1,7099.73,1616.860168
BTCUSDT,201809012000,20180901,2000,7099.86,7113.62,7066.56,7069.01,1794.570248
BTCUSDT,201809012100,20180901,2100,7069.34,7071.35,7031.0,7035.01,1904.714009
BTCUSDT,201809012200,20180901,2200,7035.22,7060.96,7032.03,7060.01,1661.401489
BTCUSDT,201809012300,20180901,2300,7060.01,7133.83,7038.0,7127.01,2346.804693
BTCUSDT,201809020000,20180902,0,7129.99,7225.0,7127.01,7166.53,3936.955529
BTCUSDT,201809020100,20180902,100,7167.02,7220.0,7166.52,7186.99,2204.211792
BTCUSDT,201809020200,20180902,200,7186.99,7210.0,7170.69,7196.31,2294.777993
BTCUSDT,201809020300,20180902,300,7195.52,7206.38,7188.0,7204.61,1686.055183
BTCUSDT,201809020400,20180902,400,7200.81,7275.0,7198.0,7247.56,2208.707333
BTCUSDT,201809020500,20180902,500,7250.82,7258.18,7177.0,7189.05,1915.475524
BTCUSDT,201809020600,20180902,600,7190.17,7216.02,7165.0,7187.52,2113.869237
BTCUSDT,201809020700,20180902,700,7187.53,7218.0,7175.0,7193.0,1503.451371
BTCUSDT,201809020800,20180902,800,7193.01,7210.31,7186.68,7200.01,1375.654683
BTCUSDT,201809020900,20180902,900,7201.57,7210.0,7134.34,7162.03,1840.279111
BTCUSDT,201809021000,20180902,1000,7163.79,7172.1,7127.0,7146.69,1490.705714
BTCUSDT,201809021100,20180902,1100,7145.01,7175.19,7140.0,7173.85,962.962943
BTCUSDT,201809021200,20180902,1200,7173.85,7205.01,7160.0,7192.26,1486.181235
BTCUSDT,201809021300,20180902,1300,7192.46,7231.51,7189.13,7215.04,1876.982882
BTCUSDT,201809021400,20180902,1400,7215.04,7242.0,7203.7,7233.66,1266.794388
BTCUSDT,201809021500,20180902,1500,7233.66,7244.0,7204.0,7210.49,1110.215388
BTCUSDT,201809021600,20180902,1600,7210.5,7247.95,7210.0,7233.66,1298.535162
BTCUSDT,201809021700,20180902,1700,7233.66,7300.0,7232.93,7281.35,2573.170201
BTCUSDT,201809021800,20180902,1800,7284.7,7345.45,7249.56,7300.0,3185.147142
BTCUSDT,201809021900,20180902,1900,7299.99,7325.0,7268.02,7283.83,2035.753504
